,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock,previous day close price,Change in price,Percent change in price,previous day Volume,Change in Volume,Percent change in Volume
0,2023-09-05,136.2849138420055,137.21384941386592,135.40590924299758,136.5546112060547,17730200,0.0,0.0,Google,,,,,,
1,2023-09-06,136.85925995054728,137.32372774580264,134.53690573282543,135.21612548828125,15814300,0.0,0.0,TATA POWER,136.5546112060547,-1.3384857177734375,-0.00980183463562223,17730200.0,-1915900.0,-0.10805856673923586
2,2023-09-07,134.4470091056515,136.42475421366336,133.8077371898575,136.04518127441406,16976000,0.0,0.0,TATA MOTORS,135.21612548828125,0.8290557861328125,0.0061313381310033055,15814300.0,1161700.0,0.07345883156383781
3,2023-09-08,135.7155620051143,137.35869652606056,135.7155620051143,137.04405212402344,17810700,0.0,0.0,SBI,136.04518127441406,0.998870849609375,0.007342199409434258,16976000.0,834700.0,0.049169415645617276
4,2023-09-11,137.2238436645175,138.1068414954171,136.39478530480156,137.58343505859375,17180800,0.0,0.0,ICICI,137.04405212402344,0.5393829345703125,0.003935836150569916,17810700.0,-629900.0,-0.035366380883401605
5,2023-09-12,136.97413695756674,137.4835517824743,135.77548873658026,135.91534423828125,15212900,0.0,0.0,WELSPOON,137.58343505859375,-1.6680908203125,-0.012124212624885389,17180800.0,-1967900.0,-0.11454065002793812
6,2023-09-13,135.74551684154366,137.54347383603283,134.77661821788686,137.3437042236328,16394900,0.0,0.0,RELIANCE,135.91534423828125,1.4283599853515625,0.010509188593507357,15212900.0,1182000.0,0.07769721749304859
7,2023-09-14,138.23269191274542,139.3913770023417,136.90420189058764,138.83201599121094,19064600,0.0,0.0,BRITANNIA,137.3437042236328,1.488311767578125,0.010836403284673057,16394900.0,2669700.0,0.16283722377080667
8,2023-09-15,138.64223869142938,139.20159973954276,137.0240696691637,138.14280700683594,48947600,0.0,0.0,NTPC,138.83201599121094,-0.689208984375,-0.0049643375085659525,19064600.0,29883000.0,1.567460109312548
9,2023-09-18,137.47357285436303,139.77094645171238,137.47357285436303,138.80206298828125,16233600,0.0,0.0,G M INFRA,138.14280700683594,0.6592559814453125,0.004772278743494063,48947600.0,-32714000.0,-0.6683473755608038
10,2023-09-19,138.0928528846343,139.01680449652747,137.34370540063085,138.6721954345703,15479100,0.0,0.0,Google,138.80206298828125,-0.1298675537109375,-0.0009356312933324062,16233600.0,-754500.0,-0.04647767593140151
11,2023-09-20,138.6721977183174,138.6821808646818,134.3670992113095,134.43701171875,21473500,0.0,0.0,TATA POWER,138.6721954345703,-4.2351837158203125,-0.030540972561573065,15479100.0,5994400.0,0.387257657098927
12,2023-09-21,132.23952141481735,133.0386151619476,130.94099598091137,131.210693359375,22042700,0.0,0.0,TATA MOTORS,134.43701171875,-3.226318359375,-0.023998736048407854,21473500.0,569200.0,0.026507090134351596
13,2023-09-22,131.53031874437417,132.85880883018353,130.36165045267236,131.10081481933594,17348700,0.0,0.0,SBI,131.210693359375,-0.1098785400390625,-0.0008374206188981326,22042700.0,-4694000.0,-0.21295031915327978
14,2023-09-25,130.62135761265267,132.0697063449734,129.8821932859733,132.01976013183594,14650000,0.0,0.0,ICICI,131.10081481933594,0.9189453125,0.007009455385661445,17348700.0,-2698700.0,-0.15555632410497622
15,2023-09-26,130.76519688801724,131.2556361059583,128.0442941225615,129.3028564453125,20378800,0.0,0.0,WELSPOON,132.01976013183594,-2.7169036865234375,-0.020579522973002806,14650000.0,5728800.0,0.3910443686006826
16,2023-09-27,129.29286923948445,131.5702763661666,129.23293987953667,131.31057739257812,18764200,0.0,0.0,RELIANCE,129.3028564453125,2.007720947265625,0.01552727451241398,20378800.0,-1614600.0,-0.07922939525389128
17,2023-09-28,130.54145444422267,134.02747780240344,130.54145444422267,132.9786834716797,18201400,0.0,0.0,BRITANNIA,131.31057739257812,1.6681060791015625,0.012703516443419716,18764200.0,-562800.0,-0.029993285085428645
18,2023-09-29,133.927595203847,134.736672050968,131.17073793931533,131.70013427734375,23224200,0.0,0.0,NTPC,132.9786834716797,-1.2785491943359375,-0.009614692828630922,18201400.0,5022800.0,0.2759567945322887
19,2023-10-02,132.00478502612253,135.20614389733143,131.91489098241533,135.016357421875,19210400,0.0,0.0,G M INFRA,131.70013427734375,3.31622314453125,0.025180104505798884,23224200.0,-4013800.0,-0.1728283428492693
20,2023-10-03,134.77662011977498,135.08628055102588,132.66403395770251,133.1484832763672,19628700,0.0,0.0,Google,135.016357421875,-1.8678741455078125,-0.013834428517956576,19210400.0,418300.0,0.021774663723816312
21,2023-10-04,133.50807836431284,136.4147743565072,133.27832882109885,136.1151123046875,22848000,0.0,0.0,TATA POWER,133.1484832763672,2.9666290283203125,0.022280606998449137,19628700.0,3219300.0,0.16400984273028785
22,2023-10-05,135.9752742208541,136.34484878719056,134.30217504275885,135.83543395996094,15922900,0.0,0.0,TATA MOTORS,136.1151123046875,-0.2796783447265625,-0.002054719273937189,22848000.0,-6925100.0,-0.30309436274509804
23,2023-10-06,134.78662592577228,139.0278020002381,134.78662592577228,138.5723114013672,20819300,0.0,0.0,SBI,135.83543395996094,2.73687744140625,0.020148479388765184,15922900.0,4896400.0,0.3075067983847164
24,2023-10-09,137.83315256458297,139.8108976354362,136.54461036946986,139.3414306640625,16599100,0.0,0.0,ICICI,138.5723114013672,0.7691192626953125,0.005550309834030376,20819300.0,-4220200.0,-0.20270614285782906
25,2023-10-10,139.35142377165482,140.58003669509094,138.27264949913422,139.04177856445312,19554900,0.0,0.0,WELSPOON,139.3414306640625,-0.299652099609375,-0.0021504881798709574,16599100.0,2955800.0,0.17806989535577222
26,2023-10-11,139.69103722892308,142.05833834939892,139.68103884149693,141.53892517089844,20146300,0.0,0.0,RELIANCE,139.04177856445312,2.4971466064453125,0.017959685442945794,19554900.0,591400.0,0.030243059284373652
27,2023-10-12,141.99840839057518,142.21815953280276,139.29148217937757,140.13052368164062,18173100,0.0,0.0,BRITANNIA,141.53892517089844,-1.4084014892578125,-0.009950630100922897,20146300.0,-1973200.0,-0.09794354298307872
28,2023-10-13,140.4901245676747,141.17934272019386,137.81317809629365,138.4224853515625,19438700,0.0,0.0,NTPC,140.13052368164062,-1.708038330078125,-0.012188909919144897,18173100.0,1265600.0,0.06964139304796646
29,2023-10-16,139.57117633947323,140.74484386363235,139.16165393564708,140.330322265625,17345600,0.0,0.0,G M INFRA,138.4224853515625,1.9078369140625,0.01378270957364336,19438700.0,-2093100.0,-0.10767695370575192
30,2023-10-17,139.87082695551408,141.08944140323277,138.37154130867162,140.82974243164062,17424000,0.0,0.0,Google,140.330322265625,0.499420166015625,0.0035588898960148274,17345600.0,78400.0,0.004519878240014652
31,2023-10-18,140.59001921481214,141.82861527953975,138.5473454537729,139.12168884277344,18304900,0.0,0.0,TATA POWER,140.82974243164062,-1.7080535888671875,-0.012128500410318432,17424000.0,880900.0,0.050556703397612424
32,2023-10-19,139.64109673174517,140.8447288746568,138.44246378275128,138.822021484375,21831200,0.0,0.0,TATA MOTORS,139.12168884277344,-0.2996673583984375,-0.0021539945416929607,18304900.0,3526300.0,0.19264240722429515
33,2023-10-20,138.43246751366678,138.8819529712384,136.09013174714406,136.58457946777344,24953900,0.0,0.0,SBI,138.822021484375,-2.2374420166015625,-0.016117342138353696,21831200.0,3122700.0,0.1430384037524277
34,2023-10-23,136.07515558011266,138.86199297809213,134.9564334587007,137.74325561523438,20780700,0.0,0.0,ICICI,136.58457946777344,1.1586761474609375,0.008483213492884278,24953900.0,-4173200.0,-0.16723638389189666
35,2023-10-24,139.0018236225244,140.55006482074936,138.59228600233652,139.96072387695312,26535200,0.0,0.0,WELSPOON,137.74325561523438,2.21746826171875,0.01609856142730437,20780700.0,5754500.0,0.2769155995707555
36,2023-10-25,129.6224986562321,129.95212538424414,125.94667367473448,126.52601623535156,58796100,0.0,0.0,RELIANCE,139.96072387695312,-13.434707641601562,-0.09598912658820435,26535200.0,32260900.0,1.2157775332388678
37,2023-10-26,124.3285182434216,125.31739079310826,122.18096058846787,123.29969024658203,33907400,0.0,0.0,BRITANNIA,126.52601623535156,-3.2263259887695312,-0.025499309033552686,58796100.0,-24888700.0,-0.42330528725544725
38,2023-10-27,123.88901625502719,124.29855387382597,121.3219378296371,123.25973510742188,37367700,0.0,0.0,NTPC,123.29969024658203,-0.03995513916015625,-0.0003240489824447579,33907400.0,3460300.0,0.10205146959070888
39,2023-10-30,124.31852868792812,126.40615700285744,123.73918612964893,125.60706329345703,24165600,0.0,0.0,G M INFRA,123.25973510742188,2.3473281860351562,0.019043754913065758,37367700.0,-13202100.0,-0.35330245104729485
40,2023-10-31,126.12646853728288,126.41613981565818,123.78414044448687,125.15757751464844,21123400,0.0,0.0,Google,125.60706329345703,-0.44948577880859375,-0.003578507187597002,24165600.0,-3042200.0,-0.12588969444168574
41,2023-11-01,125.19752683077523,127.59480036044815,124.78300525272172,127.42499542236328,26536600,0.0,0.0,TATA POWER,125.15757751464844,2.2674179077148438,0.018116505230771685,21123400.0,5413200.0,0.256265563308937
42,2023-11-02,129.4127349783565,129.9421313418674,127.96438614910133,128.43385314941406,24091700,0.0,0.0,TATA MOTORS,127.42499542236328,1.0088577270507812,0.007917267124136984,26536600.0,-2444900.0,-0.09213312933834783
43,2023-11-03,128.94325797066261,130.58139315053867,128.86334707878524,130.2218017578125,19517900,0.0,0.0,SBI,128.43385314941406,1.7879486083984375,0.01392116303104629,24091700.0,-4573800.0,-0.18984961625788133
44,2023-11-06,130.07198524616643,131.41045846270882,129.78230634259765,131.3005828857422,15360400,0.0,0.0,ICICI,130.2218017578125,1.0787811279296875,0.008284182167407117,19517900.0,-4157500.0,-0.21300959631927618
45,2023-11-07,131.82997569774284,133.1285010521005,130.99093417330667,132.24949645996094,19223800,0.0,0.0,WELSPOON,131.3005828857422,0.94891357421875,0.007227032457612914,15360400.0,3863400.0,0.2515168875810525
46,2023-11-08,132.20954961658265,133.3882010180371,132.0097800009143,133.1085205078125,15093600,0.0,0.0,RELIANCE,132.24949645996094,0.8590240478515625,0.006495480669838516,19223800.0,-4130200.0,-0.21484826100978993
47,2023-11-09,133.20841364464235,133.80773773627868,131.3605103966343,131.54031372070312,17976500,0.0,0.0,BRITANNIA,133.1085205078125,-1.568206787109375,-0.0117814155031295,15093600.0,2882900.0,0.19100148407271966
48,2023-11-10,131.38050013992992,134.11739130862892,130.72124664622606,133.90762329101562,20872900,0.0,0.0,NTPC,131.54031372070312,2.3673095703125,0.01799683688864362,17976500.0,2896400.0,0.16112146413373019
49,2023-11-13,133.20841762446366,133.9575651406687,132.61909190299588,133.48809814453125,16409900,0.0,0.0,G M INFRA,133.90762329101562,-0.419525146484375,-0.0031329444595744604,20872900.0,-4463000.0,-0.2138179170120108
50,2023-11-14,135.49581317751654,137.0840175560453,134.94645050446786,135.27606201171875,22317300,0.0,0.0,Google,133.48809814453125,1.7879638671875,0.013394181893666923,16409900.0,5907400.0,0.3599900060329435
51,2023-11-15,136.48468983318045,136.68445945825619,135.17618126127223,136.22499084472656,15840900,0.0,0.0,TATA POWER,135.27606201171875,0.9489288330078125,0.007014757961579354,22317300.0,-6476400.0,-0.29019639472516834
52,2023-11-16,136.80433067090718,138.72214646760673,135.92532604854463,138.54234313964844,17615100,0.0,0.0,TATA MOTORS,136.22499084472656,2.317352294921875,0.017011212704453493,15840900.0,1774200.0,0.11200121205234548
53,2023-11-17,137.66335214624624,137.84314023065352,135.326000358837,136.7843475341797,25565300,0.0,0.0,SBI,138.54234313964844,-1.75799560546875,-0.012689229629216814,17615100.0,7950200.0,0.45132868959018113
54,2023-11-20,135.34598192776082,138.267660231686,135.3359987813284,137.7632293701172,19569400,0.0,0.0,ICICI,136.7843475341797,0.9788818359375,0.0071563878000946435,25565300.0,-5995900.0,-0.23453274555745485
55,2023-11-21,137.78321309842912,138.8070419367959,137.54847960124738,138.46243286132812,17648100,0.0,0.0,WELSPOON,137.7632293701172,0.6992034912109375,0.005075399977249706,19569400.0,-1921300.0,-0.09817878933436897
56,2023-11-22,138.941902619499,140.93962938474587,138.84201018465836,139.86085510253906,17306400,0.0,0.0,RELIANCE,138.46243286132812,1.3984222412109375,0.01009965094728238,17648100.0,-341700.0,-0.01936185765039866
57,2023-11-24,139.38138845621344,139.51824139554782,137.31374919826024,138.06289672851562,8828600,0.0,0.0,BRITANNIA,139.86085510253906,-1.7979583740234375,-0.012855336632292547,17306400.0,-8477800.0,-0.4898650210326816
